"id","app","category","one_liner","auth","access","api_styles","api_breadth","mcp","verdict","blocker","confidence","evidence_urls"
"1","Salesforce","CRM and Sales","Salesforce is a cloud-based AI CRM platform for sales, service, marketing, commerce, and related customer operations. ([salesforce.com](https://www.salesforce.com/?bc=OTH&lang=en&utm_source=openai))","oauth2 | bearer_token","self_serve_free","rest | soap | graphql | sdk | webhook","broad","official","ready_now","none","0.97","https://www.salesforce.com/ | https://help.salesforce.com/s/articleView?id=000005140&language=en_US&type=1 | https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart.html | https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_web_server_flow.htm&language=en_US&type=5 | https://help.salesforce.com/s/articleView?id=sf.external_client_apps_oauth_flow_config.htm&language=en_US&type=5 | https://help.salesforce.com/s/articleView?id=sf.overview_edition.htm&language=en_US | https://developer.salesforce.com/docs/platform/graphql/guide/graphql-about.html | https://help.salesforce.com/s/articleView?id=platform.api_catalog_manage_mcp_servers.htm&language=en_US&type=5 | https://help.salesforce.com/s/articleView?id=005316426&language=en_US&type=1 | https://help.salesforce.com/s/articleView?id=release-notes.rn_api_hosted_mcp_servers_ga.htm&release=262&type=5"
"2","HubSpot","CRM and Sales","HubSpot is a CRM platform for managing customer records, deals, sales processes, and related customer data, with free CRM tools and paid hub tiers.","oauth2 | api_key | bearer_token","self_serve_free","rest | sdk | cli","broad","official","ready_now","none","0.97","https://www.hubspot.com/pricing/crm | https://www.hubspot.com/products/crm | https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/overview | https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth | https://developers.hubspot.com/docs/apps/legacy-apps/private-apps/overview | https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/account-service-keys | https://developers.hubspot.com/changelog/service-keys | https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/oauth-quickstart-guide | https://developers.hubspot.com/docs/api-reference/latest/crm/using-object-apis | https://developers.hubspot.com/docs/api-reference/latest/crm/objects/deals/guide | https://developers.hubspot.com/docs/api-reference/latest/crm/objects/contacts/guide | https://developers.hubspot.com/docs/apps/developer-platform/build-apps/integrate-with-the-remote-hubspot-mcp-server | https://www.hubspot.com/ai-tools | https://developers.hubspot.com/changelog/remote-hubspot-mcp-server-is-now-generally-available"
"3","Pipedrive","CRM and Sales","A web-based sales CRM for tracking leads, deals, contacts, pipelines, and sales activity.","personal_token | oauth2 | bearer_token","self_serve_paid","rest | webhook | sdk | unknown","broad","multiple","blocked","no_public_api","0.97","https://www.pipedrive.com/en/pricing | https://www.pipedrive.com/en/register/ | https://support.pipedrive.com/en/article/what-is-the-api-key-for | https://support.pipedrive.com/en/article/can-all-users-access-the-pipedrive-api | https://developers.pipedrive.com/docs/api/v1 | https://developers.pipedrive.com/docs/api/v1/Oauth | https://support.pipedrive.com/en/article/mcp-tools | https://support.pipedrive.com/en/article/mcp-claude | https://devcommunity.pipedrive.com/t/open-source-pipedrive-mcp-server-155-tools-v2-first-mit/20392"
"4","Attio","CRM and Sales","A customizable CRM platform for managing people, companies, deals, tasks, notes, and related sales/workflow data.","oauth2 | api_key | bearer_token | basic","self_serve_free","rest | sdk | webhook | mcp","broad","official","ready_now","none","0.97","https://attio.com/help/reference/attio-ai/attio-mcp | https://docs.attio.com/mcp/overview | https://docs.attio.com/rest-api/guides/authentication | https://docs.attio.com/rest-api/overview | https://docs.attio.com/rest-api/endpoint-reference/records/list-records | https://docs.attio.com/docs/overview | https://attio.com/pricing | https://docs.attio.com/rest-api/endpoint-reference/objects/list-objects"
"5","Twenty","CRM and Sales","Open-source CRM for building customizable sales workflows, objects, views, automations, and AI-assisted CRM experiences.","api_key | oauth2","self_serve_trial","rest | graphql | sdk","broad","official","ready_now","none","0.97","https://twenty.com/ | https://docs.twenty.com/getting-started/quickstart | https://docs.twenty.com/user-guide/billing/capabilities/pricing-plans | https://docs.twenty.com/developers/extend/api | https://docs.twenty.com/developers/extend/oauth | https://twenty.com/releases | https://github.com/twentyhq/twenty"
"6","Podio","CRM and Sales","A customizable work management platform used to build lightweight CRM and sales workflows with apps, workspaces, automation, and collaboration.","oauth2 | custom","self_serve_free","rest","broad","official","ready_now","none","0.96","https://developers.podio.com/authentication | https://developers.podio.com/doc/oauth-authorization/get-access-token-22359 | https://developers.podio.com/authentication/server_side | https://developers.podio.com/authentication/client_side | https://developers.podio.com/authentication/username_password | https://developers.podio.com/authentication/app_auth | https://developers.podio.com/api-key | https://www.progress.com/podio/pricing | https://www.progress.com/podio/documentation/using-podio/upgrade-and-billing/pricing | https://developers.podio.com/doc | https://developers.podio.com/index/api | https://developers.podio.com/doc/items | https://developers.podio.com/doc/comments | https://developers.podio.com/doc/organizations | https://developers.podio.com/doc/spaces | https://developers.podio.com/doc/search | https://docs.sharefile.com/en-us/podio/using-podio/general-features/podio-mcp-server.html"
"7","Zoho CRM","CRM and Sales","A cloud CRM for managing leads, contacts, accounts, deals, sales workflows, analytics, and automation.","oauth2 | api_key | custom","self_serve_free","rest | graphql | sdk | webhook | mcp","broad","official","ready_now","none","0.95","https://www.zoho.com/crm/developer/docs/api/v8/auth-request.html | https://www.zoho.com/crm/developer/docs/api/v8/access-refresh.html | https://www.zoho.com/crm/developer/docs/api/v8/client-credentials.html | https://www.zoho.com/crm/developer/docs/api/v8/ | https://www.zoho.com/crm/developer/docs/api.html | https://www.zoho.com/crm/developer/mcp.html | https://help.zoho.com/portal/en/kb/crm/getting-started/articles/choose-your-path-edition-and-role-guide | https://www.zoho.com/crm/complete-feature-list.html?source_from=edition-selection | https://www.zoho.com/crm/developer/docs/functions/auth-method.html"
"8","Close","CRM and Sales","A sales CRM for teams that sell, with calling, email, SMS, pipeline management, automation, reporting, and an embedded AI sales agent named Chloe.","api_key | oauth2","self_serve_trial","rest | webhook | mcp","broad","official","ready_now","none","0.97","https://close.com/ | https://close.com/pricing | https://developer.close.com/api/overview | https://developer.close.com/api/overview/api-key-authentication | https://developer.close.com/api/overview/oauth-authentication | https://help.close.com/integrations/api-keys-oauth | https://developer.close.com/ | https://developer.close.com/api/resources/leads | https://developer.close.com/api/resources/activities | https://developer.close.com/api/resources/opportunities/create | https://developer.close.com/api/resources/webhooks | https://developer.close.com/api/resources/events | https://developer.close.com/mcp | https://developer.close.com/mcp/tools"
"9","Copper","CRM and Sales","A relationship-focused CRM for managing leads, contacts, opportunities, projects, and related work inside Google Workspace.","api_key | oauth2","self_serve_free","rest | sdk | webhook","broad","none_found","ready_now","none","0.96","https://www.copper.com/about | https://www.copper.com/pricing | https://www.copper.com/signup | https://developer.copper.com/introduction/authentication.html | https://developer.copper.com/introduction/requests.html | https://developer.copper.com/introduction/oauth/flow.html | https://developer.copper.com/introduction/oauth/index.html | https://developer.copper.com/ | https://developer.copper.com/leads/overview.html | https://developer.copper.com/people/overview.html | https://developer.copper.com/opportunities/overview.html | https://developer.copper.com/tasks/list-tasks-search.html | https://developer.copper.com/related-items/overview.html | https://support.copper.com/en/articles/8823347-generating-an-api-key | https://docs.copper.com/copper-sdk/reference"
"10","DealCloud","CRM and Sales","DealCloud is an Intapp CRM and deal/relationship management platform for financial and professional services firms, with REST APIs for data, schema, user management, publications, backups, and relationship intelligence, plus an official MCP server for read-only AI access.","oauth2 | api_key | bearer_token","self_serve_paid","rest | mcp | sdk","broad","official","conditional","paid_access","0.96","https://api.docs.dealcloud.com/ | https://api.docs.dealcloud.com/docs | https://api.docs.dealcloud.com/docs/apikeys | https://api.docs.dealcloud.com/docs/token | https://api.docs.dealcloud.com/docs/data | https://api.docs.dealcloud.com/guides/making_requests_on_behalf_of_users | https://api.docs.dealcloud.com/mcp/getting-started | https://api.docs.dealcloud.com/mcp/tools | https://api.docs.dealcloud.com/releases | https://www.intapp.com/dealcloud/relationship-management/"
